feature,frequency,rank,docfreq,group
year_old,755,1,692,all
right_now,727,2,727,all
last_night,719,3,704,all
last_year,656,4,656,all
feel_like,648,5,623,all
new_york,624,6,572,all
thank_follow,577,7,577,all
look_like,546,8,544,all
look_forward,526,9,526,all
next_week,503,10,502,all
one_day,385,11,385,all
first_time,374,12,374,all
st_loui,347,13,317,all
last_week,325,14,324,all
high_school,324,15,321,all
year_ago,321,16,319,all
two_year,297,17,268,all
great_time,294,18,294,all
make_sure,293,19,293,all
can_get,287,20,287,all
just_like,285,21,285,all
one_thing,282,22,281,all
thank_much,280,23,280,all
good_morn,278,24,278,all
follow_back,272,25,245,all
happi_birthday,271,26,271,all
want_go,271,27,271,all
next_year,265,28,265,all
even_though,260,29,260,all
tri_get,250,30,250,all
go_back,250,31,250,all
valentin_day,250,32,182,all
get_readi,244,33,244,all
san_francisco,235,34,206,all
everi_day,232,35,232,all
great_day,231,36,231,all
littl_bit,223,37,196,all
let_know,222,38,222,all
can_help,219,39,219,all
pleas_follow,214,40,214,all
get_better,213,41,213,all
get_one,209,42,209,all
best_friend,208,43,198,all
just_got,206,44,206,all
sound_like,204,45,204,all
school_district,196,46,196,all
let_us,182,47,182,all
make_differ,182,48,99,all
a.m_p.m,180,49,96,all
south_carolina,176,50,86,all
us_know,175,51,175,all
day_ago,174,52,174,all
wait_see,174,53,174,all
long_time,172,54,172,all
los_angel,171,55,171,all
u_know,171,56,171,all
get_back,170,57,170,all
get_good,170,58,170,all
health_care,169,59,169,all
saturday_night,167,60,167,all
can_use,164,61,137,all
make_feel,163,62,163,all
pretti_much,163,63,163,all
san_diego,163,64,163,all
new_home,163,65,132,all
five_year,159,66,159,all
want_get,157,67,129,all
go_get,157,68,157,all
last_month,157,69,157,all
read_book,157,70,156,all
just_get,156,71,156,all
one_favorit,156,72,156,all
cell_phone,156,73,155,all
south_africa,156,74,132,all
unit_state,156,75,156,all
know_can,155,76,155,all
come_back,154,77,154,all
take_pictur,153,78,153,all
good_luck,153,79,153,all
thank_rt,152,80,152,all
two_week,152,81,152,all
york_citi,152,82,152,all
robert_kaufman,150,83,30,all
sunday_night,149,84,149,all
well_well,149,85,99,all
start_work,148,86,148,all
best_thing,146,87,146,all
now_watch,146,88,146,all
piec_paper,146,89,109,all
hope_see,145,90,145,all
make_sens,145,91,145,all
year_servic,145,92,29,all
new_year,144,93,144,all
oh_well,143,94,143,all
get_sleep,143,95,143,all
play_well,142,96,117,all
breast_cancer,141,97,125,all
need_get,141,98,141,all
text_messag,141,99,104,all
u_ur,140,100,140,all
last_season,140,101,140,all
u_can,139,102,136,all
good_night,134,103,134,all
put_togeth,134,104,134,all
thank_retweet,133,105,133,all
happi_thanksgiv,133,106,133,all
mani_peopl,133,107,133,all
back_work,132,108,132,all
get_hurt,131,109,131,all
last_day,130,110,130,all
join_us,130,111,130,all
week_now,130,112,130,all
much_time,128,113,128,all
next_time,127,114,120,all
e_mail,127,115,127,all
u_want,126,116,126,all
let_go,126,117,126,all
right_back,125,118,125,all
point_guard,125,119,125,all
store_call,124,120,76,all
first_half,124,121,123,all
can_still,123,122,93,all
tri_make,123,123,123,all
get_work,121,124,121,all
last_time,120,125,120,all
go_make,120,126,120,all
stay_tune,120,127,120,all
pretti_sure,120,128,120,all
free_spirit,120,129,30,all
s_o,119,130,119,all
year_get,119,131,119,all
feel_good,119,132,119,all
attorney_general,119,133,119,all
happi_hour,118,134,115,all
hope_find,118,135,118,all
gonna_get,117,136,117,all
make_new,117,137,117,all
can_also,116,138,116,all
help_us,116,139,111,all
think_go,116,140,116,all
nativ_plant,116,141,47,all
know_make,115,142,78,all
like_call,115,143,115,all
million_dollar,114,144,114,all
went_back,114,145,114,all
someth_wrong,114,146,114,all
just_say,114,147,114,all
come_see,113,148,113,all
steve_job,113,149,113,all
just_love,112,150,112,all
mother_day,112,151,112,all
later_week,112,152,112,all
