feature,frequency,rank,docfreq,group
let_us_know,161,1,161,all
new_york_citi,152,2,152,all
store_call_regard,96,3,48,all
start_next_week,95,4,95,all
gaston_south_carolina,90,5,9,all
south_carolina_attract,90,6,9,all
love_toast_mom,88,7,22,all
point_rebound_assist,86,8,86,all
say_feel_like,83,9,83,all
u_know_clap,72,10,72,all
deal_old_issu,72,11,36,all
pleas_make_sure,71,12,71,all
year_old_son,70,13,70,all
rebound_assist_steal,69,14,69,all
happi_valentin_day,68,15,68,all
rock_n_roll,67,16,67,all
thank_follow_love,67,17,67,all
now_year_old,67,18,67,all
know_can_help,66,19,66,all
former_massachusett_governor,66,20,66,all
tim_burton_dark,65,21,65,all
follow_follow_back,64,22,64,all
go_night_night,64,23,32,all
care_year_old,64,24,44,all
million_second_weekend,61,25,61,all
three_point_rang,61,26,61,all
deccan_may_today,60,27,60,all
happi_mother_day,59,28,59,all
help_us_get,59,29,59,all
year_old_girl,59,30,59,all
e_street_band,59,31,59,all
bad_influenc_mr,58,32,58,all
influenc_mr_de,58,33,58,all
mr_de_vere,58,34,58,all
de_vere_twitter,58,35,58,all
vere_twitter_non,58,36,58,all
twitter_non_stop,58,37,58,all
non_stop_sinc,58,38,58,all
stop_sinc_got,58,39,58,all
think_tweet_friend,58,40,58,all
tweet_friend_decid,58,41,58,all
friend_decid_follow,58,42,58,all
decid_follow_haha,58,43,58,all
believ_us_probabl,58,44,58,all
us_probabl_alon,58,45,58,all
stick_da_drank,58,46,58,all
year_servic_year,58,47,29,all
servic_year_servic,58,48,29,all
whose_watch_walk,57,49,57,all
watch_walk_dead,57,50,57,all
walk_dead_tweet,57,51,57,all
dead_tweet_see,57,52,57,all
tweet_see_like,57,53,57,all
see_like_hate,57,54,57,all
like_hate_lemm,57,55,57,all
hate_lemm_know,57,56,57,all
want_sleep_stupid,57,57,57,all
sleep_stupid_bio,57,58,57,all
stupid_bio_bull,57,59,57,all
bio_bull_crap,57,60,57,all
step_stone_success,57,61,57,all
thank_follow_let,57,62,57,all
follow_let_know,57,63,57,all
let_know_can,57,64,57,all
quick_becam_one,57,65,57,all
best_thing_ever,56,66,56,all
rip_steve_job,56,67,56,all
year_million_contract,56,68,56,all
work_incred_pleas,56,69,28,all
polit_action_committe,56,70,56,all
coupl_day_ago,55,71,55,all
good_morn_world,55,72,55,all
niggaz_need_right,55,73,55,all
need_right_babymama,55,74,55,all
right_babymama_right,55,75,55,all
babymama_right_forev,55,76,55,all
american_reunion_funni,55,77,55,all
reunion_funni_movi,55,78,55,all
funni_movi_watch,55,79,55,all
major_donor_like,55,80,55,all
donor_like_alreadi,55,81,55,all
like_alreadi_found,55,82,55,all
alreadi_found_question,55,83,55,all
found_question_identifi,55,84,55,all
question_identifi_includ,55,85,55,all
identifi_includ_passion,55,86,55,all
includ_passion_involv,55,87,55,all
passion_involv_resourc,55,88,55,all
watch_woman_black,55,89,55,all
thank_much_post,55,90,55,all
much_post_warren,55,91,55,all
post_warren_video,55,92,55,all
warren_video_minor,55,93,55,all
video_minor_correct,55,94,55,all
minor_correct_director,55,95,55,all
correct_director_brian,55,96,55,all
director_brian_shortal,55,97,55,all
forget_action_item,55,98,55,all
action_item_contest,55,99,55,all
item_contest_go,55,100,55,all
year_born_first,55,101,55,all
born_first_pc,55,102,55,all
first_pc_virus,55,103,55,all
pc_virus_brain,55,104,55,all
virus_brain_start,55,105,55,all
brain_start_spread,55,106,55,all
start_spread_top,55,107,55,all
spread_top_sell,55,108,55,all
top_sell_movi,55,109,55,all
sell_movi_top,55,110,55,all
movi_top_gun,55,111,55,all
need_inspir_kick,54,112,54,all
inspir_kick_b,54,113,54,all
kick_b_now,54,114,54,all
b_now_commenc,54,115,54,all
now_commenc_counter,54,116,54,all
commenc_counter_#toomuchhappen,54,117,54,all
throw_past_dust,54,118,54,all
past_dust_bin,54,119,54,all
dust_bin_keep,54,120,54,all
bin_keep_present,54,121,54,all
keep_present_work,54,122,54,all
present_work_tabl,54,123,54,all
work_tabl_display,54,124,54,all
tabl_display_futur,54,125,54,all
display_futur_notic,54,126,54,all
futur_notic_board,54,127,54,all
hi_hi_hi,54,128,27,all
osama_bin_laden,54,129,54,all
excel_sound_like,54,130,54,all
sound_like_go,54,131,54,all
like_go_lot,54,132,54,all
go_lot_differ,54,133,54,all
lot_differ_stuff,54,134,54,all
differ_stuff_gotta,54,135,54,all
stuff_gotta_tri,54,136,54,all
someth_tell_paola,54,137,54,all
tell_paola_doe,54,138,54,all
paola_doe_c,54,139,54,all
miss_gourmet_magazin,54,140,54,all
gourmet_magazin_one,54,141,54,all
magazin_one_favorit,54,142,54,all
one_favorit_good,54,143,54,all
favorit_good_luck,54,144,54,all
good_luck_new,54,145,54,all
luck_new_show,54,146,54,all
new_show_ruth,54,147,54,all
show_ruth_wait,54,148,54,all
ruth_wait_see,54,149,54,all
famili_member_say,54,150,27,all
registr_p.m_side,54,151,27,all
p.m_side_game,54,152,27,all
side_game_p.m,54,153,27,all
game_p.m_buy,54,154,27,all
busi_day_produc,53,155,53,all
day_produc_seat,53,156,53,all
produc_seat_today,53,157,53,all
seat_today_welp,53,158,53,all
today_welp_gotta,53,159,53,all
welp_gotta_go,53,160,53,all
gotta_go_time,53,161,53,all
go_time_tick,53,162,53,all
ever_come_paycheck,53,163,53,all
come_paycheck_can,53,164,53,all
paycheck_can_buy,53,165,53,all
can_buy_copi,53,166,53,all
season_bore_past,53,167,53,all
bore_past_player,53,168,53,all
past_player_wear,53,169,53,all
player_wear_target,53,170,53,all
wear_target_send,53,171,53,all
target_send_star,53,172,53,all
send_star_new,53,173,53,all
star_new_cast,53,174,53,all
new_cast_strong,53,175,53,all
pretti_much_everyth,53,176,53,all
much_everyth_list,53,177,53,all
everyth_list_tonight,53,178,53,all
list_tonight_now,53,179,53,all
tonight_now_littl,53,180,53,all
now_littl_think,53,181,53,all
littl_think_disengag,53,182,53,all
think_disengag_brain,53,183,53,all
want_pink_dip,53,184,53,all
pink_dip_dye,53,185,53,all
dip_dye_mum,53,186,53,all
dye_mum_said,53,187,53,all
mum_said_want,53,188,53,all
said_want_blue,53,189,53,all
want_blue_idkkkkk,53,190,53,all
visit_church_celebr,53,191,53,all
church_celebr_kiss,53,192,53,all
celebr_kiss_gospel,53,193,53,all
kiss_gospel_17th,53,194,53,all
gospel_17th_c,53,195,53,all
17th_c_protest,53,196,53,all
c_protest_homunculus,53,197,53,all
protest_homunculus_head,53,198,53,all
homunculus_head_start,53,199,53,all
head_start_yell,53,200,53,all
start_yell_idolatri,53,201,53,all
practic_dupont_circl,53,202,53,all
dupont_circl_today,53,203,53,all
circl_today_lucki,53,204,53,all
today_lucki_practic,53,205,53,all
lucki_practic_next,53,206,53,all
practic_next_mani,53,207,53,all
next_mani_tastey,53,208,53,all
mani_tastey_restaur,53,209,53,all
omg_volum_just,53,210,53,all
volum_just_blast,53,211,53,all
just_blast_think,53,212,53,all
blast_think_headphon,53,213,53,all
think_headphon_mess,53,214,53,all
headphon_mess_scare,53,215,53,all
plan_call_new,53,216,53,all
last_year_second,53,217,53,all
chillen_#genev_class,52,218,52,all
#genev_class_great,52,219,52,all
class_great_time,52,220,52,all
great_time_w,52,221,52,all
time_w_veroniqu,52,222,52,all
w_veroniqu_learn,52,223,52,all
veroniqu_learn_stuff,52,224,52,all
thank_alway_want,52,225,52,all
alway_want_notic,52,226,52,all
want_notic_final,52,227,52,all
notic_final_im,52,228,52,all
final_im_sure,52,229,52,all
im_sure_see,52,230,52,all
sure_see_never,52,231,52,all
see_never_give,52,232,52,all
never_give_inev,52,233,52,all
hat_alway_say,52,234,52,all
alway_say_gonna,52,235,52,all
say_gonna_id,52,236,52,all
gonna_id_never,52,237,52,all
id_never_pull,52,238,52,all
never_pull_trigger,52,239,52,all
pull_trigger_smh,52,240,52,all
like_music_youtub,52,241,52,all
fun_watch_amaz,52,242,52,all
watch_amaz_smile,52,243,52,all
patienc_kiddi_tweet,52,244,52,all
kiddi_tweet_gone,52,245,52,all
also_sansa_shay,52,246,52,all
sansa_shay_scene,52,247,52,all
shay_scene_game,52,248,52,all
scene_game_throne,52,249,52,all
game_throne_just,52,250,52,all
throne_just_get,52,251,52,all
just_get_good,52,252,52,all
want_go_school,52,253,52,all
sound_like_plan,52,254,52,all
thank_u_hun,52,255,52,all
u_hun_ou,52,256,52,all
hun_ou_okay,52,257,52,all
ou_okay_u,52,258,52,all
okay_u_want,52,259,52,all
u_want_name,52,260,52,all
want_name_back,52,261,52,all
name_back_just,52,262,52,all
back_just_say,52,263,52,all
just_say_feel,52,264,52,all
feel_like_steal,52,265,52,all
like_steal_someth,52,266,52,all
one_think_new,52,267,52,all
think_new_#ferrisbuel,52,268,52,all
new_#ferrisbuel_commerci,52,269,52,all
#ferrisbuel_commerci_honda,52,270,52,all
commerci_honda_good,52,271,52,all
honda_good_honda,52,272,52,all
good_honda_wtf,52,273,52,all
honda_wtf_ferrari,52,274,52,all
tweet_fruit_cake,52,275,52,all
fruit_cake_gt,52,276,52,all
cake_gt_smokinbullets0,52,277,52,all
gt_smokinbullets0_class,52,278,52,all
smokinbullets0_class_silenc,52,279,52,all
class_silenc_rsass,52,280,52,all
silenc_rsass_blind,52,281,52,all
rsass_blind_eye,52,282,52,all
blind_eye_assassin,52,283,52,all
eye_assassin_dead,52,284,52,all
assassin_dead_silenc,52,285,52,all
dead_silenc_prone,52,286,52,all
hello_world_hope,52,287,52,all
world_hope_life,52,288,52,all
hope_life_treat,52,289,52,all
life_treat_well,52,290,52,all
treat_well_everi,52,291,52,all
well_everi_day,52,292,52,all
good_afternoon_sure,52,293,52,all
afternoon_sure_get,52,294,52,all
sure_get_better,52,295,52,all
get_better_better,52,296,52,all
progress_realli_well,52,297,52,all
wait_wait_age,52,298,52,all
wait_age_digit,52,299,52,all
age_digit_humanist,52,300,52,all
digit_humanist_refer,52,301,52,all
humanist_refer_last,52,302,52,all
refer_last_tweet,52,303,52,all
last_tweet_feel,52,304,52,all
tweet_feel_ancient,52,305,52,all
feel_ancient_charaact,52,306,52,all
ancient_charaact_lack,52,307,52,all
charaact_lack_nuanc,52,308,52,all
lack_nuanc_sorri,52,309,52,all
head_wed_lombard,52,310,52,all
wed_lombard_il,52,311,52,all
lombard_il_thank,52,312,52,all
il_thank_#dietrib,52,313,52,all
thank_#dietrib_see,52,314,52,all
#dietrib_see_#usffw,52,315,52,all
see_#usffw_great,52,316,52,all
#usffw_great_communiti,52,317,52,all
great_communiti_great,52,318,52,all
communiti_great_experi,52,319,52,all
back_hous_bout,52,320,52,all
hous_bout_catch,52,321,52,all
bout_catch_drunk,52,322,52,all
catch_drunk_z,52,323,52,all
seen_time_awesom,52,324,52,all
time_awesom_go,52,325,52,all
awesom_go_sunday,52,326,52,all
mental_health_issu,52,327,52,all
season_salt_pepper,52,328,52,all
st_loui_counti,52,329,52,all
feder_aviat_administr,52,330,52,all
goodmoanin_look_valley,51,331,51,all
look_valley_victorian,51,332,51,all
valley_victorian_scare,51,333,51,all
victorian_scare_futur,51,334,51,all
scare_futur_hope,51,335,51,all
futur_hope_delorian,51,336,51,all
spell_elit_without,51,337,51,all
elit_without_eli,51,338,51,all
hi_marco_thank,51,339,51,all
marco_thank_follow,51,340,51,all
thank_follow_receiv,51,341,51,all
follow_receiv_email,51,342,51,all
receiv_email_respons,51,343,51,all
email_respons_question,51,344,51,all
understand_complet_know,51,345,51,all
thank_much_follow,51,346,51,all
now_watch_kemba,51,347,51,all
watch_kemba_take,51,348,51,all
kemba_take_45million,51,349,51,all
take_45million_dribbl,51,350,51,all
yeah_obvious_talk,51,351,51,all
obvious_talk_bad,51,352,51,all
longest_lose_streak,51,353,51,all
favorit_#foodtruck_food,51,354,51,all
well_well_well,50,355,50,all
well_well_good,50,356,50,all
well_good_afternoon,50,357,50,all
imagin_#espn_wifi,50,358,50,all
#espn_wifi_hub,50,359,50,all
wifi_hub_let,50,360,50,all
hub_let_attende,50,361,50,all
let_attende_access,50,362,50,all
attende_access_fantasi,50,363,50,all
access_fantasi_footbal,50,364,50,all
fantasi_footbal_leagu,50,365,50,all
footbal_leagu_concess,50,366,50,all
leagu_concess_stand,50,367,50,all
concess_stand_deliveri,50,368,50,all
stand_deliveri_seat,50,369,50,all
peopl_text_drive,50,370,50,all
text_drive_highway,50,371,50,all
alway_tri_absolut,50,372,50,all
tri_absolut_best,50,373,50,all
absolut_best_task,50,374,50,all
best_task_undertak,50,375,50,all
task_undertak_simpli,50,376,50,all
undertak_simpli_know,50,377,50,all
simpli_know_piss,50,378,50,all
know_piss_lot,50,379,50,all
piss_lot_peopl,50,380,50,all
1st_time_dalla,50,381,50,all
time_dalla_take,50,382,50,all
dalla_take_anim,50,383,50,all
take_anim_style,50,384,50,all
anim_style_pleas,50,385,50,all
style_pleas_thank,50,386,50,all
oh_fo_sho,50,387,50,all
fo_sho_green,50,388,50,all
sho_green_beer,50,389,50,all
green_beer_texa,50,390,50,all
beer_texa_hold'em,50,391,50,all
texa_hold'em_buffalo,50,392,50,all
hold'em_buffalo_wild,50,393,50,all
buffalo_wild_wing,50,394,50,all
wild_wing_domin,50,395,50,all
wing_domin_cours,50,396,50,all
domin_cours_haha,50,397,50,all
wassup_u_life,50,398,50,all
u_life_lol,50,399,50,all
life_pictur_book,50,400,50,all
pictur_book_want,50,401,50,all
book_want_rememb,50,402,50,all
want_rememb_action,50,403,50,all
rememb_action_line,50,404,50,all
action_line_want,50,405,50,all
line_want_snapshot,50,406,50,all
want_snapshot_count,50,407,50,all
yeah_u_gotten,50,408,50,all
u_gotten_pictur,50,409,50,all
gotten_pictur_get,50,410,50,all
pictur_get_one,50,411,50,all
get_one_next,50,412,50,all
one_next_time,50,413,50,all
next_time_love,50,414,50,all
time_love_watch,50,415,50,all
love_watch_game,50,416,50,all
watch_game_w,50,417,50,all
game_w_u,50,418,50,all
w_u_today,50,419,50,all
hey_just_check,50,420,50,all
just_check_new,50,421,50,all
check_new_trailer,50,422,50,all
new_trailer_tim,50,423,50,all
trailer_tim_burton,50,424,50,all
burton_dark_shadzzzzzzzzzzzz,50,425,50,all
cant_thank_enough,50,426,50,all
thank_enough_checkin,50,427,50,all
enough_checkin_musician,50,428,50,all
checkin_musician_featur,50,429,50,all
tri_delet_hotel,50,430,50,all
delet_hotel_info,50,431,50,all
hotel_info_steam,50,432,50,all
info_steam_express,50,433,50,all
steam_express_place,50,434,50,all
express_place_page,50,435,50,all
place_page_save,50,436,50,all
one_swing_babi,50,437,50,all
swing_babi_one,50,438,50,all
babi_one_swing,50,439,50,all
come_find_josh,50,440,50,all
find_josh_ritter,50,441,50,all
joke_upgrad_yet,50,442,50,all
upgrad_yet_mwahaha,50,443,50,all
three_option_#detroit,50,444,50,all
option_#detroit_fiscal,50,445,50,all
#detroit_fiscal_crisi,50,446,50,all
fiscal_crisi_consent,50,447,50,all
crisi_consent_agreement,50,448,50,all
consent_agreement_em,50,449,50,all
agreement_em_bankruptci,50,450,50,all
em_bankruptci_consent,50,451,50,all
bankruptci_consent_agreement,50,452,50,all
consent_agreement_respons,50,453,50,all
agreement_respons_realist,50,454,50,all
respons_realist_solut,50,455,50,all
said_rt_thank,50,456,50,all
rt_thank_compil,50,457,50,all
thank_compil_share,50,458,50,all
compil_share_list,50,459,50,all
congrat_mt_today,50,460,50,all
mt_today_regist,50,461,50,all
today_regist_first,50,462,50,all
regist_first_time,50,463,50,all
first_time_attend,50,464,50,all
time_attend_grant,50,465,50,all
attend_grant_beneath,50,466,50,all
grant_beneath_confer,50,467,50,all
beneath_confer_wing,50,468,50,all
perform_absolut_aw,50,469,50,all
advertis_peopl_good,50,470,25,all
realli_good_us,50,471,25,all
hour_a.m_p.m,50,472,50,all
wish_someon_come,49,473,49,all
someon_come_throw,49,474,49,all
come_throw_rock,49,475,49,all
throw_rock_bedroom,49,476,49,all
rock_bedroom_window,49,477,49,all
bedroom_window_play,49,478,49,all
window_play_guitar,49,479,49,all
play_guitar_right,49,480,49,all
guitar_right_now,49,481,49,all
push_up_sit,49,482,49,all
up_sit_up,49,483,49,all
sit_up_tonight,49,484,49,all
good_morn_life,49,485,49,all
morn_life_good,49,486,49,all
like_best_thing,49,487,49,all
bless_day_follow,49,488,49,all
day_follow_welcom,49,489,49,all
follow_welcom_swag,49,490,49,all
welcom_swag_citi,49,491,49,all
repin_must_sens,49,492,49,all
must_sens_self,49,493,49,all
sens_self_friend,49,494,49,all
self_friend_pinterest,49,495,49,all
#2brokegirl_pick_second,49,496,49,all
pick_second_season,49,497,49,all
second_season_congrat,49,498,49,all
season_congrat_full,49,499,49,all
congrat_full_circl,49,500,49,all
full_circl_mgmt,49,501,49,all
circl_mgmt_famili,49,502,49,all
sy_great_home,49,503,49,all
great_home_stretch,49,504,49,all
home_stretch_month,49,505,49,all
stretch_month_concert,49,506,49,all
month_concert_contest,49,507,49,all
concert_contest_season,49,508,49,all
contest_season_start,49,509,49,all
madelein_buckingham_ceo,49,510,49,all
buckingham_ceo_say,49,511,49,all
ceo_say_integr,49,512,49,all
say_integr_donor,49,513,49,all
integr_donor_subscrib,49,514,49,all
donor_subscrib_databas,49,515,49,all
subscrib_databas_streamlin,49,516,49,all
databas_streamlin_mail,49,517,49,all
got_ask_program,49,518,49,all
ask_program_use,49,519,49,all
program_use_awesom,49,520,49,all
use_awesom_present,49,521,49,all
awesom_present_last,49,522,49,all
present_last_night,49,523,49,all
middl_difficulti_lie,49,524,49,all
difficulti_lie_opportun,49,525,49,all
lie_opportun_albert,49,526,49,all
opportun_albert_einstein,49,527,49,all
albert_einstein_let,49,528,49,all
einstein_let_turn,49,529,49,all
let_turn_everi,49,530,49,all
turn_everi_roadblock,49,531,49,all
everi_roadblock_step,49,532,49,all
roadblock_step_stone,49,533,49,all
stone_success_let,49,534,49,all
success_let_live,49,535,49,all
let_live_now,49,536,49,all
rt_sad_im,49,537,49,all
sad_im_miss,49,538,49,all
im_miss_tonight,49,539,49,all
thank_call_show,49,540,49,all
call_show_miss,49,541,49,all
show_miss_rt,49,542,49,all
miss_rt_srsli,49,543,49,all
rt_srsli_lunch,49,544,49,all
srsli_lunch_w,49,545,49,all
