feature,frequency,rank,docfreq,group
get,8787,1,7907,all
just,8510,2,8193,all
said,8352,3,7580,all
like,8351,4,7463,all
one,8021,5,7111,all
go,7393,6,6696,all
time,7369,7,6844,all
day,6933,8,6131,all
new,6488,9,5630,all
year,6449,10,5611,all
can,5940,11,5468,all
love,5736,12,5273,all
now,5715,13,5523,all
make,5592,14,5220,all
thank,5395,15,5277,all
know,5196,16,4880,all
good,5150,17,4603,all
work,5144,18,4746,all
want,4744,19,4373,all
say,4592,20,4102,all
back,4556,21,4229,all
today,4379,22,4267,all
see,4337,23,4125,all
look,4313,24,4150,all
think,4145,25,3831,all
use,4120,26,3549,all
great,4061,27,3793,all
peopl,4051,28,3569,all
come,3958,29,3825,all
last,3911,30,3821,all
follow,3896,31,3532,all
need,3752,32,3459,all
first,3726,33,3612,all
week,3709,34,3514,all
two,3664,35,3310,all
game,3569,36,2912,all
also,3462,37,3378,all
thing,3453,38,3226,all
well,3444,39,3116,all
got,3298,40,3099,all
right,3196,41,2903,all
take,3169,42,3089,all
play,3153,43,2639,all
u,3020,44,2499,all
even,3000,45,2971,all
much,2999,46,2847,all
best,2968,47,2851,all
show,2942,48,2787,all
start,2893,49,2796,all
way,2890,50,2688,all
us,2872,51,2420,all
realli,2860,52,2581,all
rt,2860,53,2715,all
night,2851,54,2527,all
tri,2721,55,2604,all
feel,2673,56,2484,all
still,2649,57,2575,all
help,2600,58,2270,all
school,2554,59,2176,all
call,2552,60,2391,all
life,2541,61,2307,all
friend,2467,62,2200,all
state,2444,63,1996,all
may,2413,64,2181,all
home,2406,65,2226,all
lol,2361,66,2180,all
next,2323,67,2278,all
hope,2290,68,2117,all
littl,2234,69,2024,all
watch,2229,70,2198,all
team,2227,71,2005,all
live,2214,72,2151,all
give,2181,73,2127,all
made,2136,74,2086,all
anoth,2130,75,2054,all
old,2128,76,1807,all
someth,2118,77,2016,all
lot,2058,78,1854,all
never,2037,79,1879,all
citi,2011,80,1750,all
hous,1998,81,1760,all
wait,1988,82,1847,all
mani,1970,83,1885,all
month,1948,84,1725,all
let,1903,85,1785,all
place,1895,86,1794,all
put,1885,87,1828,all
around,1875,88,1820,all
man,1874,89,1765,all
head,1859,90,1810,all
happi,1832,91,1782,all
run,1828,92,1728,all
sure,1823,93,1726,all
alway,1806,94,1709,all
keep,1803,95,1662,all
three,1800,96,1607,all
miss,1800,97,1671,all
includ,1795,98,1642,all
talk,1777,99,1656,all
world,1758,100,1679,all
find,1757,101,1540,all
ever,1737,102,1714,all
season,1736,103,1428,all
tonight,1730,104,1730,all
ask,1728,105,1462,all
point,1724,106,1623,all
chang,1719,107,1475,all
free,1709,108,1523,all
post,1699,109,1573,all
busi,1688,110,1468,all
better,1683,111,1580,all
